Price,Price
Ticker,SPY
Date,
2020-07-13,291.4813537597656
2020-07-14,295.2588195800781
2020-07-15,297.9713439941406
2020-07-16,296.989990234375
2020-07-17,297.8509521484375
2020-07-20,300.2581481933594
2020-07-21,300.8969421386719
2020-07-22,302.6095886230469
2020-07-23,298.9990539550781
2020-07-24,297.0733642578125
2020-07-27,299.23968505859375
2020-07-28,297.3417663574219
2020-07-29,300.9986877441406
2020-07-30,299.92474365234375
2020-07-31,302.29486083984375
2020-08-03,304.3965148925781
2020-08-04,305.572265625
2020-08-05,307.47015380859375
2020-08-06,309.525390625
2020-08-07,309.7475891113281
2020-08-10,310.67352294921875
2020-08-11,308.10894775390625
2020-08-12,312.40460205078125
2020-08-13,311.8399658203125
2020-08-14,311.8492431640625
2020-08-17,312.83978271484375
2020-08-18,313.51568603515625
2020-08-19,312.2102966308594
2020-08-20,313.1824035644531
2020-08-21,314.2933349609375
2020-08-24,317.4782409667969
2020-08-25,318.5890808105469
2020-08-26,321.7831726074219
2020-08-27,322.48675537109375
2020-08-28,324.56982421875
2020-08-31,323.3940124511719
2020-09-01,326.4399108886719
2020-09-02,331.16156005859375
2020-09-03,319.7649230957031
2020-09-04,317.154052734375
2020-09-08,308.488525390625
2020-09-09,314.5802917480469
2020-09-10,309.1180419921875
2020-09-11,309.2755126953125
2020-09-14,313.3490295410156
2020-09-15,314.9322509765625
2020-09-16,313.6824035644531
2020-09-17,310.9234619140625
2020-09-18,307.34381103515625
2020-09-21,303.9231872558594
2020-09-22,307.0185241699219
2020-09-23,299.8984375
2020-09-24,300.6978454589844
2020-09-25,305.5591735839844
2020-09-28,310.63433837890625
2020-09-29,308.9425964355469
2020-09-30,311.2850036621094
2020-10-01,313.283447265625
2020-10-02,310.3089904785156
2020-10-05,315.8116760253906
2020-10-06,311.3221740722656
2020-10-07,316.7412414550781
2020-10-08,319.5483093261719
2020-10-09,322.40203857421875
2020-10-12,327.588623046875
2020-10-13,325.4507751464844
2020-10-14,323.4058837890625
2020-10-15,323.00616455078125
2020-10-16,322.81097412109375
2020-10-19,317.90313720703125
2020-10-20,319.17657470703125
2020-10-21,318.5723876953125
2020-10-22,320.3198547363281
2020-10-23,321.40740966796875
2020-10-26,315.46783447265625
2020-10-27,314.3802185058594
2020-10-28,303.63507080078125
2020-10-29,306.7210388183594
2020-10-30,303.5235595703125
2020-11-02,306.9255676269531
2020-11-03,312.3446350097656
2020-11-04,319.3254089355469
2020-11-05,325.55303955078125
2020-11-06,325.47869873046875
2020-11-09,329.5684814453125
2020-11-10,329.08514404296875
2020-11-11,331.52978515625
2020-11-12,328.3136291503906
2020-11-13,332.8590087890625
2020-11-16,337.013916015625
2020-11-17,335.20135498046875
2020-11-18,331.1672668457031
2020-11-19,332.5615539550781
2020-11-20,330.2842712402344
2020-11-23,332.26409912109375
2020-11-24,337.6181335449219
2020-11-25,337.0976257324219
2020-11-27,338.03643798828125
2020-11-30,336.5399475097656
2020-12-01,340.22076416015625
2020-12-02,340.9365234375
2020-12-03,340.843505859375
2020-12-04,343.78082275390625
2020-12-07,343.0743103027344
2020-12-08,344.0782775878906
2020-12-09,340.9923095703125
2020-12-10,340.8807373046875
2020-12-11,340.48095703125
2020-12-14,338.9566345214844
2020-12-15,343.53912353515625
2020-12-16,344.0782775878906
2020-12-17,346.0023498535156
2020-12-18,344.62078857421875
2020-12-21,343.38848876953125
2020-12-22,342.8098449707031
2020-12-23,343.117919921875
2020-12-24,344.45281982421875
2020-12-28,347.4118957519531
2020-12-29,346.74908447265625
2020-12-30,347.2438049316406
2020-12-31,349.0081481933594
2021-01-04,344.2567138671875
2021-01-05,346.6278076171875
2021-01-06,348.7000732421875
2021-01-07,353.8809509277344
2021-01-08,355.8971862792969
2021-01-11,353.4981994628906
2021-01-12,353.5728454589844
2021-01-13,354.52496337890625
2021-01-14,353.2834167480469
2021-01-15,350.70709228515625
2021-01-19,353.4608459472656
2021-01-20,358.35223388671875
2021-01-21,358.678955078125
2021-01-22,357.4093933105469
2021-01-25,358.8190612792969
2021-01-26,358.2588806152344
2021-01-27,349.5028991699219
2021-01-28,352.5086975097656
2021-01-29,345.4515686035156
2021-02-01,351.20184326171875
2021-02-02,356.16790771484375
2021-02-03,356.4479675292969
2021-02-04,360.4992370605469
2021-02-05,361.9180603027344
2021-02-08,364.5318603515625
2021-02-09,364.28912353515625
2021-02-10,364.1304626464844
2021-02-11,364.7185363769531
2021-02-12,366.5201721191406
2021-02-16,366.2027587890625
2021-02-17,366.28680419921875
2021-02-18,364.7278747558594
2021-02-19,364.0837707519531
2021-02-22,361.2833251953125
2021-02-23,361.7220764160156
2021-02-24,365.7080078125
2021-02-25,356.89593505859375
2021-02-26,355.0570068359375
2021-03-01,363.6636657714844
2021-03-02,360.8259582519531
2021-03-03,356.0466003417969
2021-03-04,351.6405334472656
2021-03-05,358.1095886230469
2021-03-08,356.3266296386719
2021-03-09,361.4140319824219
2021-03-10,363.6636657714844
2021-03-11,367.3509216308594
2021-03-12,367.845703125
2021-03-15,370.0393981933594
2021-03-16,369.5727233886719
2021-03-17,370.8327941894531
2021-03-18,365.4373474121094
2021-03-19,364.76116943359375
2021-03-22,367.67376708984375
2021-03-23,364.7799072265625
2021-03-24,362.9254455566406
2021-03-25,364.9672546386719
2021-03-26,370.8486328125
2021-03-29,370.66131591796875
2021-03-30,369.6778869628906
2021-03-31,371.17645263671875
